manifest_id,doc_id,source_domain,event_published_at,event_ts_hour,title,generated_on
28,ZZM_CN_1c67e004d972,zzmetro.cn,2024-07-02 10:10:00,2024-07-02 10:00:00,这个暑期，大学生都能免费乘坐郑州地铁啦！ 为了更好满足大学生暑期出行需要，郑州市委人才办联合郑州地铁集团再次推出惠才举措。郑州地铁全线网（含3号线、郑许线）将继续开展暑期大学生免费乘坐地铁活动。... 为了更好满足大学生暑期出行需要，郑州市委人才办联合郑州地铁集团再次推出惠才举措。郑州地铁全线网（含3号线、郑许线）将继续开展暑期大学生免费乘坐地铁活动。,2025-12-24
29,ZZM_CN_8ca963884b20,zzmetro.cn,2024-06-05 17:17:00,2024-06-05 17:00:00,爱心助考  “晶”心为您  郑州地铁邀您一起为考生加油 郑州地铁6月7日~24日将开展“爱心助考•‘晶’心为您”主题活动，再一次吹响为高考、中考考生护航的爱心助考集结号。... 郑州地铁6月7日~24日将开展“爱心助考•‘晶’心为您”主题活动，再一次吹响为高考、中考考生护航的爱心助考集结号。,2025-12-24
30,ZZM_CN_7d54520be688,zzmetro.cn,2024-06-01 17:30:00,2024-06-01 17:00:00,全国一等奖 郑州地铁拿到了 5月26日至29日，由全国总工会宣传教育部、全总文工团主办的“中国梦•劳动美——凝心铸魂跟党走 团结奋斗新征程”全国职工健身舞（操）展演在浙江横店影视城举行。这不仅是对全国职工精神风貌的一次集中展示，更是对新时代劳动精神的深情礼赞。... 5月26日至29日，由全国总工会宣传教育部、全总文工团主办的“中国梦•劳动美——凝心铸魂跟党走 团结奋斗新征程”全国职工健身舞（操）,2025-12-24
31,ZZM_CN_1486e0cbde14,zzmetro.cn,2024-05-21 10:53:00,2024-05-21 10:00:00,《城市轨道交通企业财务全寿命周期与可持续发展》课题华北地区城轨交通企业研讨会顺利召开 5月17日，《城市轨道交通企业财务全寿命周期与可持续发展》（以下简称《城轨财务可持续》）课题华北地区城轨交通企业研讨会在郑州召开。... 5月17日，《城市轨道交通企业财务全寿命周期与可持续发展》（以下简称《城轨财务可持续》）课题华北地区城轨交通企业研讨会在郑州召开。,2025-12-24
32,ZZM_CN_e081df22dd92,zzmetro.cn,2024-05-16 16:35:00,2024-05-16 16:00:00,郑州市轨道交通8号线一期工程全线“电通” 5月15日23点35分，随着鲁庙站变电所35kV开关柜合闸完成，标志着8号线一期工程顺利实现全线交流“电通”。... 5月15日23点35分，随着鲁庙站变电所35kV开关柜合闸完成，标志着8号线一期工程顺利实现全线交流“电通”。,2025-12-24
33,ZZM_CN_d5802999245d,zzmetro.cn,2024-05-09 16:52:00,2024-05-09 16:00:00,6号线一期工程东北段全线接触网热滑试验顺利完成 2024年5月8日，经过28个小时的艰苦鏖战，电客车成功驶入热滑试验终点冯湾站，标志着6号线一期工程东北段全线接触网热滑试验顺利完成。... 2024年5月8日，经过28个小时的艰苦鏖战，电客车成功驶入热滑试验终点冯湾站，标志着6号线一期工程东北段全线接触网热滑试验顺利完成。,2025-12-24
34,ZZM_CN_0c0b023c9346,zzmetro.cn,2024-04-19 18:19:00,2024-04-19 18:00:00,郑州市轨道交通 6号线一期工程东北段全线“电通” 近日，随着清华附中站变电所35kV开关柜合闸完成，标志着6号线一期工程东北段供电系统35kV交流“电通”。... 近日，随着清华附中站变电所35kV开关柜合闸完成，标志着6号线一期工程东北段供电系统35kV交流“电通”。,2025-12-24
35,ZZM_CN_83fea30b6411,zzmetro.cn,2024-04-15 17:00:00,2024-04-15 17:00:00,郑州市轨道交通6号线一期工程东北段实现全线“轨通” 2024年4月15日，随着大学中路站最后一组25米轨排平稳地铺设在道床上，标志着郑州市轨道交通6号线一期东北段全线“轨通”，为后续施工及空载试运行奠定了坚实基础。... 2024年4月15日，随着大学中路站最后一组25米轨排平稳地铺设在道床上，标志着郑州市轨道交通6号线一期东北段全线“轨通”，为后续施工及空载试运行奠定了坚实基础。,2025-12-24
36,ZZM_CN_14fa267b909b,zzmetro.cn,2024-04-11 11:15:00,2024-04-11 11:00:00,6号线一期东北段风水电及装修工程举行 “勇担使命保工期，秉承匠心筑精品” 劳动竞赛启动仪式 为全面贯彻公司党委关于基层党建“书记项目”相关工作要求，实现郑州市轨道交通6号线一期工程东北段年底前初期运营目标，4月8日，“勇担使命保工期，秉承匠心筑精品”劳动竞赛启动仪式在中铁七局风水电及装修01标项目部举行。... 为全面贯彻公司党委关于基层党建“书记项目”相关工作要求，实现郑州市轨道交通6号线一期工,2025-12-24
37,ZZM_CN_c1c0afaefcfe,zzmetro.cn,2024-03-23 19:05:00,2024-03-23 19:00:00,郑州市轨道交通6号线一期工程东北段全线车站主体结构顺利封顶 3月23日，郑州市轨道交通6号线一期工程东北段大学中路站最后一块顶板开始浇筑，待浇筑完成后，6号线一期工程东北段全线所有车站主体结构全部封顶。... 3月23日，郑州市轨道交通6号线一期工程东北段大学中路站最后一块顶板开始浇筑，待浇筑完成后，6号线一期工程东北段全线所有车站主体结构全部封顶。,2025-12-24
