line,seq,station_name,station_id
4号线,9,森林公园北,ZZS_55f9aea406
4号线,10,清华附中,ZZS_ccf9ac5267
4号线,11,龙湖中环北,ZZS_9965eccc39
4号线,12,龙湖北,ZZS_dbb2385d18
4号线,13,金融岛北,ZZS_542d10f6f0
4号线,14,金融岛南,ZZS_aa3686fb6d
4号线,15,龙湖南,ZZS_25a4eab92b
4号线,16,龙湖中环南,ZZS_eda0ec6e78
4号线,17,农业东路,ZZS_d86c49fbed
4号线,18,中央商务区,ZZS_1236ed80e3
4号线,19,会展中心,ZZS_87213b5129
4号线,20,商鼎路,ZZS_06c5d1c11c
4号线,21,东十里铺,ZZS_28ee7061d7
4号线,22,货站街,ZZS_90de6fab35
4号线,23,七里河,ZZS_45679e4fc0
4号线,24,果树所,ZZS_93f56b73b3
4号线,25,金岱,ZZS_1acd4fa835
4号线,26,姚庄,ZZS_1e911360df
4号线,27,郎庄,ZZS_184971fb41
5号线,1,月季公园,ZZS_ae7cc361da
5号线,2,沙口路,ZZS_deb2edc4a2
5号线,3,海滩寺,ZZS_31a002aa03
5号线,4,郑州人民医院,ZZS_5b6c4f8186
5号线,5,黄河路,ZZS_7dd13fd23f
5号线,6,省人民医院,ZZS_9d8185e03c
5号线,7,姚砦,ZZS_cb2e15cfa0
5号线,8,众意西路,ZZS_3ada9c57dc
5号线,9,中央商务区,ZZS_1236ed80e3
5号线,10,儿童医院,ZZS_bd17c52fa6
5号线,11,祭城,ZZS_386438745b
5号线,12,金水东路,ZZS_190cc56901
5号线,13,郑州东站,ZZS_ff6940526d
5号线,14,康宁街,ZZS_20dcf363fc
5号线,15,省骨科医院,ZZS_a3cc0229f4
5号线,16,经北二路,ZZS_2db8e2eabe
5号线,17,经开中心广场,ZZS_c995bf7092
5号线,18,福塔东,ZZS_14efbdcc1b
5号线,19,中原福塔,ZZS_5babce6145
5号线,20,七里河,ZZS_45679e4fc0
5号线,21,航海广场,ZZS_f095e9678f
5号线,22,城东南路,ZZS_1246e07d02
5号线,23,南五里堡,ZZS_20262a52f0
5号线,24,冯庄,ZZS_f97030e2b9
5号线,25,京广南路,ZZS_4dd2360957
5号线,26,市第二人民医院,ZZS_5dc87121c2
5号线,27,齐礼阎,ZZS_9a26907088
5号线,28,后河芦,ZZS_c94675c30b
5号线,29,桐淮,ZZS_c720567666
5号线,30,陇海西路,ZZS_001bf66fc1
5号线,31,市中心医院,ZZS_136c32a256
5号线,32,五一公园,ZZS_27d32a2e36
6号线,1,贾峪,ZZS_2f6e9b8cad
6号线,2,洞林湖,ZZS_eab04601b0
6号线,3,洞林寺,ZZS_77acb25c9b
6号线,4,安宁路,ZZS_e6a9c90243
6号线,5,马寨,ZZS_485552a0e0
6号线,6,河南建院,ZZS_be7c73e65a
6号线,7,金桢路,ZZS_f593248d09
6号线,8,奥体中心西,ZZS_7af1d05702
6号线,9,奥体中心,ZZS_5479c586b4
6号线,10,常庄,ZZS_9e03ca5f4c
6号线,11,冯湾,ZZS_5d10963dfa
6号线,12,李江沟,ZZS_c684a04cd3
6号线,13,卧龙岗,ZZS_5d76a54f7e
6号线,14,桐淮,ZZS_c720567666
6号线,15,嵩淮,ZZS_d657129917
6号线,16,大学中路,ZZS_388ac52a0a
6号线,17,火车头体育场,ZZS_20d2a84fd8
6号线,18,陇秀公园,ZZS_920af7f7b2
6号线,19,二里岗,ZZS_93b9249040
6号线,20,二里岗东,ZZS_50d016b586
6号线,21,凤凰台南,ZZS_fab270f5e2
6号线,22,博览中心,ZZS_ba70aa715e
6号线,23,燕庄,ZZS_38180914a0
6号线,24,姚砦,ZZS_cb2e15cfa0
6号线,25,金汇桥,ZZS_012609616a
6号线,26,小营,ZZS_1f9e3949c9
6号线,27,金融岛西,ZZS_7027bf40e7
6号线,28,清华附中,ZZS_ccf9ac5267
7号线,1,东赵,ZZS_017f9f7875
7号线,2,黄河迎宾馆,ZZS_abc078ccd5
7号线,3,北大学城,ZZS_05baea497e
7号线,4,刘李寺,ZZS_acc81fc7cf
7号线,5,张家村,ZZS_eca427650a
7号线,6,陈寨,ZZS_d8521d5c3b
7号线,7,白庙,ZZS_d86aaedd03
7号线,8,农业大学,ZZS_21cd47bbd9
7号线,9,郑州人民医院,ZZS_5b6c4f8186
7号线,10,大石桥,ZZS_c8f4a267a6
7号线,11,郑大一附院,ZZS_7cc440f48e
7号线,12,医学院,ZZS_c9109d3d9f
7号线,13,市骨科医院,ZZS_5649ff9c65
7号线,14,大学中路,ZZS_388ac52a0a
7号线,15,市第二人民医院,ZZS_5dc87121c2
7号线,16,王胡寨,ZZS_96226bcc6f
7号线,17,李江路,ZZS_d5ccc1f8fe
7号线,18,京广路,ZZS_e93055a2d4
7号线,19,南环公园,ZZS_8a189aa278
7号线,20,南岗刘,ZZS_6cce175bd4
8号线,1,天健湖,ZZS_2696ac305b
8号线,2,轻工业大学,ZZS_d9b30933bc
8号线,3,祥营,ZZS_4b22562d02
8号线,4,郑州大学,ZZS_e4b35b2f4d
8号线,5,银屏路,ZZS_afbafd2356
8号线,6,冬青街,ZZS_a6984fc653
8号线,7,南流,ZZS_8e500de2da
8号线,8,大学科技园,ZZS_14975bb40b
8号线,9,五龙口,ZZS_1da410d5c4
8号线,10,同乐,ZZS_973f67bf8a
8号线,11,省中医院,ZZS_479fe26d80
8号线,12,白庙,ZZS_d86aaedd03
8号线,13,东风路,ZZS_ff491e6fdf
8号线,14,枣庄,ZZS_1798713287
8号线,15,小营,ZZS_1f9e3949c9
8号线,16,龙湖中环南,ZZS_eda0ec6e78
8号线,17,郑大一附院东区,ZZS_53800581f9
8号线,18,高铁公园,ZZS_371844c59b
8号线,19,畅和街,ZZS_d42cc93ba3
8号线,20,郑州东站,ZZS_ff6940526d
8号线,21,圃田西,ZZS_b5c4192440
8号线,22,圃田,ZZS_183636a902
8号线,23,省社科院,ZZS_8613b32067
8号线,24,福泽路,ZZS_92917e47af
8号线,25,李湖桥,ZZS_2dccccd192
8号线,26,龙王庙,ZZS_05998450f4
8号线,27,绿博园,ZZS_69db9cfc46
8号线,28,鲁庙,ZZS_b2a66125f0
10号线,1,郑州西站,ZZS_9d546847d5
10号线,2,李商隐公园,ZZS_193238e3af
10号线,3,庙王,ZZS_6497dca4fb
10号线,4,柳湖,ZZS_5925b9eaa7
10号线,5,市委党校,ZZS_f453749a84
10号线,6,郑州一中,ZZS_8b4f322227
10号线,7,西流湖公园南,ZZS_6f9fa1c519
10号线,8,二砂,ZZS_90377f53c5
10号线,9,市中心医院,ZZS_136c32a256
10号线,10,绿城广场,ZZS_3813354d55
10号线,11,医学院,ZZS_c9109d3d9f
10号线,12,郑州火车站,ZZS_90196f31d6
12号线,1,龙子湖东,ZZS_4eb4353851
12号线,2,龙子湖,ZZS_b0ac143899
12号线,3,郑州东站,ZZS_ff6940526d
12号线,4,郑州东站东广场,ZZS_9b58e62d57
12号线,5,博学路,ZZS_bf7f2bfbd0
12号线,6,龙翔桥,ZZS_b4e7594df2
12号线,7,中原福塔,ZZS_5babce6145
12号线,8,儿童医院,ZZS_bd17c52fa6
12号线,9,龙湖中环南,ZZS_eda0ec6e78
12号线,10,西周,ZZS_a9af1749e0
12号线,11,龙湖北,ZZS_dbb2385d18
14号线,1,铁炉,ZZS_1acdaac4ce
14号线,2,市民大道,ZZS_e37b46cf08
14号线,3,市委党校,ZZS_f453749a84
14号线,4,奥体中心,ZZS_5479c586b4
14号线,5,莲湖,ZZS_311ece53d8
城郊线,1,南四环,ZZS_54adf32b6c
城郊线,2,十八里河,ZZS_7a33fc56d1
城郊线,3,沙窝李,ZZS_afdeac8ac7
城郊线,4,双湖大道,ZZS_63fa0eb855
