doc_id,station_id,station_name,confidence,match_rule,evidence_span,event_label,event_label_name,event_severity,event_line_mentions
ZZM_CN_515a842b946f,ZZS_2bd57be00d,关虎屯,0.9,exact+line,2号线|关虎屯,0,normal_info,0,2号线
ZZM_CN_515a842b946f,ZZS_ff491e6fdf,东风路,0.9,exact+line,2号线|东风路,0,normal_info,0,2号线
ZZM_CN_5201b74b3bfa,ZZS_ff6940526d,郑州东站,0.9,exact,郑州东站,0,normal_info,0,
ZZM_CN_525174e7f8b2,ZZS_a14df2d44f,紫荆山,0.9,exact,紫荆山,0,normal_info,0,
ZZM_CN_52c33b181745,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_52c33b181745,ZZS_ff6940526d,郑州东站,0.9,exact+line,1号线|郑州东站,0,normal_info,0,1号线
ZZM_CN_5506de6d3030,ZZS_ff6940526d,郑州东站,0.9,exact+line,5号线|郑州东站,0,normal_info,0,5号线
ZZM_CN_578642c80f17,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_5ab4f4c56965,ZZS_5b6c4f8186,郑州人民医院,0.9,exact,郑州人民医院,0,normal_info,0,
ZZM_CN_5cc52371cfbd,ZZS_29284451da,凤凰台,0.9,exact+line,3号线|凤凰台,0,normal_info,0,3号线
ZZM_CN_5cc52371cfbd,ZZS_44eab6c022,南阳新村,0.9,exact+line,3号线|南阳新村,0,normal_info,0,3号线
ZZM_CN_5cc52371cfbd,ZZS_51e572c7c3,东大街,0.9,exact+line,3号线|东大街,0,normal_info,0,3号线
ZZM_CN_5cc52371cfbd,ZZS_b9cd9992ce,人民公园,0.9,exact+line,3号线|人民公园,0,normal_info,0,3号线
ZZM_CN_5ee33b43a60b,ZZS_87213b5129,会展中心,0.9,exact+line,1号线|会展中心,0,normal_info,0,1号线
ZZM_CN_609552efac4f,ZZS_6b600b7696,刘庄,0.9,exact+line,2号线|刘庄,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_609552efac4f,ZZS_c180efc575,贾河,0.9,exact+line,2号线|贾河,0,normal_info,0,2号线|3号线|4号线|5号线
ZZM_CN_62283e78c3d8,ZZS_d86c49fbed,农业东路,0.9,exact,农业东路,0,normal_info,0,1号线
ZZM_CN_62283e78c3d8,ZZS_ff2a277828,民航路,0.9,exact+line,1号线|民航路,0,normal_info,0,1号线
ZZM_CN_6cfd9f062a28,ZZS_45679e4fc0,七里河,0.9,exact,七里河,1,service_disruption,0,1号线
ZZM_CN_6cfd9f062a28,ZZS_90196f31d6,郑州火车站,0.9,exact+line,1号线|郑州火车站,1,service_disruption,0,1号线
ZZM_CN_6cfd9f062a28,ZZS_d86c49fbed,农业东路,0.9,exact,农业东路,1,service_disruption,0,1号线
ZZM_CN_6da6451acfdc,ZZS_45679e4fc0,七里河,0.9,exact+line,4号线|七里河,0,normal_info,0,4号线
ZZM_CN_6e94f529536a,ZZS_51e572c7c3,东大街,0.9,exact+line,2号线|东大街,0,normal_info,0,2号线
ZZM_CN_6f5acc99b683,ZZS_f453749a84,市委党校,0.9,exact,市委党校,0,normal_info,0,
ZZM_CN_71c85a95f441,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,0,normal_info,0,1号线
ZZM_CN_71c85a95f441,ZZS_cc61daaced,市体育中心,0.9,exact+line,1号线|市体育中心,0,normal_info,0,1号线
ZZM_CN_733dc7747865,ZZS_4db99ddb57,华南城,0.9,exact,华南城,0,normal_info,0,
ZZM_CN_733dc7747865,ZZS_5ce22f5450,小乔,0.9,exact,小乔,0,normal_info,0,
ZZM_CN_733dc7747865,ZZS_6e6f33dc37,华南城东,0.9,exact,华南城东,0,normal_info,0,
ZZM_CN_73d838ee48d3,ZZS_b8d795b006,黄河南路,0.9,exact+line,1号线|黄河南路,0,normal_info,3,1号线|2号线
ZZM_CN_74fc7a84a31b,ZZS_a14df2d44f,紫荆山,0.9,exact,紫荆山,0,normal_info,0,
ZZM_CN_754380a04c07,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,0,normal_info,0,1号线
ZZM_CN_754380a04c07,ZZS_cc61daaced,市体育中心,0.9,exact+line,1号线|市体育中心,0,normal_info,0,1号线
ZZM_CN_7884598c360c,ZZS_bf7f2bfbd0,博学路,0.9,exact,博学路,1,service_disruption,0,3号线
ZZM_CN_79debf759787,ZZS_a14df2d44f,紫荆山,0.9,exact,紫荆山,0,normal_info,3,
ZZM_CN_7a07e1baddfd,ZZS_3813354d55,绿城广场,0.9,exact,绿城广场,0,normal_info,0,
ZZM_CN_7b4b664f3e1c,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_7c04a5094d95,ZZS_0660d199a6,农业南路,0.9,exact+line,1号线|农业南路,0,normal_info,0,1号线
ZZM_CN_7d2cc887b171,ZZS_87213b5129,会展中心,0.9,exact+line,4号线|会展中心,0,normal_info,0,4号线
ZZM_CN_7eae2e6f6eaf,ZZS_87213b5129,会展中心,0.9,exact+line,1号线|会展中心,1,service_disruption,3,1号线
ZZM_CN_8090692ccad5,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_8108a8085db6,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_8108a8085db6,ZZS_bb3c17098a,人民路,0.9,exact+line,1号线|人民路,0,normal_info,0,1号线
ZZM_CN_8116848bd5c3,ZZS_9a0290117b,新郑机场,0.9,exact,新郑机场,4,crowd_weather_external,0,
ZZM_CN_8116848bd5c3,ZZS_d0e428cc6b,孟庄,0.9,exact,孟庄,4,crowd_weather_external,0,
ZZM_CN_83fea30b6411,ZZS_388ac52a0a,大学中路,0.9,exact+line,6号线|大学中路,0,normal_info,3,6号线
ZZM_CN_866a6d9df8e0,ZZS_1236ed80e3,中央商务区,0.9,exact+line,5号线|中央商务区,0,normal_info,0,5号线
ZZM_CN_866a6d9df8e0,ZZS_20262a52f0,南五里堡,0.9,exact+line,5号线|南五里堡,0,normal_info,0,5号线
ZZM_CN_866a6d9df8e0,ZZS_20dcf363fc,康宁街,0.9,exact+line,5号线|康宁街,0,normal_info,0,5号线
ZZM_CN_866a6d9df8e0,ZZS_27d32a2e36,五一公园,0.9,exact+line,5号线|五一公园,0,normal_info,0,5号线
ZZM_CN_866a6d9df8e0,ZZS_5babce6145,中原福塔,0.9,exact+line,5号线|中原福塔,0,normal_info,0,5号线
